"","V1","V2","V3"
"00001","A010401","A010404","A010302"
"00002","A010403","A010401","A010402"
"00003","C120101","C120601","C170701"
"00004","A010401","A010302","A010710"
"00005","A010302","A010402","A010404"
"00006","B100502","A010401","A040502"
"00007","A010401","A010601","A010630"
"00008","A010302","A010401","A010608"
"00009","A040502","A041003","A010302"
"00010","C030401","C110701","C070102"
"00011","A010403","A020302","A010302"
"00012","D040201","B470106","B130202"
"00013","B100301","B100305","B670402"
"00014","A010401","A010644","A010201"
"00015","A040502","A041003","A010401"
"00016","A010403","A010402","A010302"
"00017","A010302","A010401","A010902"
"00018","A011004","A010608","A020302"
"00019","A010403","A010302","A010404"
"00020","A010401","A010201","A010402"
"00021","B100504","B670402","B210802"
"00022","A010644","A010402","A010619"
"00023","A010302","A010402","A060203"
"00024","B530401","B100305","B140201"
"00025","A040502","A010603","A010613"
"00026","A010402","A010403","A010202"
"00027","A010302","A010501","A010403"
"00028","B140103","B470104","B050901"
"00029","A060202","A020302","A060201"
"00030","A010302","A010403","A010401"
"00031","A011004","A010302","A010101"
"00032","B100501","A010401","A010302"
"00033","B160402","B150601","B160102"
"00034","A010401","A010402","A010302"
"00035","A010401","A010402","A010403"
"00036","A010302","A010501","A011004"
"00037","A011004","A010710","A010620"
"00038","B160202","A011004","B150601"
"00039","A010401","A040902","A010403"
"00040","A010404","A010402","A040902"
"00041","A010401","A010644","A010646"
"00042","B100305","B100301","B740101"
"00043","B100301","B200801","B150102"
"00044","C010206","A010403","A010603"
"00045","A040902","A010606","A010401"
"00046","A010401","A010403","A010607"
"00047","B100305","B050202","B470106"
"00048","A010403","A011004","C170701"
"00049","A040902","A010401","A010613"
"00050","A010302","A010608","A010402"
"00051","A010302","A010401","B210107"
"00052","A010401","A010402","A010403"
"00053","C010206","A060203","A010601"
"00054","A011003","A010613","A010401"
"00055","C070202","C070201","C030401"
"00056","A010401","A010402","A010644"
"00057","C070103","C070101","C110204"
"00058","A010404","A040502","A010302"
"00059","A010403","A010402","A010710"
"00060","A010501","A010707","A020302"
"00061","A010501","C090105","C070101"
"00062","A010613","A010645","A010644"
"00063","A010302","A010612","A010301"
"00064","B730302","B120103","B910201"
"00065","A010403","A010402","A010710"
"00066","A010630","B740402","B210802"
"00067","B550101","B380406","B380303"
"00068","B450203","B450201","B080601"
"00069","C140407","C110204","C150101"
"00070","A010302","A010608","A010404"
"00071","B100305","B100504","B050117"
"00072","B300301","B430101","B890103"
"00073","A080111","A080103","A060203"
"00074","A040302","A010710","A011004"
"00075","A011004","A010902","C150301"
"00076","A010401","A011004","A010902"
"00077","A010404","A010402","A010403"
"00078","A010403","A010619","A010644"
"00079","B100502","B100504","B210802"
"00080","C070101","C060506","C070201"
"00081","A010644","A010613","A011001"
"00082","A040902","A010404","A010401"
"00083","A010401","A040902","A010602"
"00084","A011004","A010613","A010602"
"00085","A010302","A010404","A010402"
"00086","B160101","B160402","B100305"
"00087","A010623","A010626","A010404"
"00088","A010401","A010302","B100305"
"00089","B100305","B200801","B200602"
"00090","A010403","A010501","A010402"
"00091","A010403","A010402","A010101"
"00092","A020306","A010401","A030102"
"00093","A040902","A040502","A010401"
"00094","A010302","A010404","A011004"
"00095","B200801","B100305","B140103"
"00096","A010403","A010302","A010404"
"00097","A070302","A070101","A020302"
"00098","A010403","A010902","A010201"
"00099","A040902","A080106","A040502"
"00100","A010401","A011004","A010613"
"00101","A011004","A010607","A010613"
"00102","A010403","C070102","C010206"
"00103","C070102","C070101","C070202"
"00104","B200801","B430101","B140103"
"00105","B100502","B530401","B050201"
"00106","A060203","A010401","A010101"
"00107","A040902","A010623","A010201"
"00108","A010302","A010403","A010620"
"00109","C070101","C030401","C150101"
"00110","A010902","A010302","A010404"
"00111","C070103","C150103","C070201"
"00112","A010401","A010402","A040502"
"00113","A010403","A010401","A010638"
"00114","A010403","A010603","C040601"
"00115","A010403","A011004","A010501"
"00116","C120501","C110101","C120101"
"00117","A010403","A010302","A010402"
"00118","A040502","A010623","A020302"
"00119","A010402","A010302","C170206"
"00120","A040902","A040502","A020701"
"00121","A010613","A010644","A010631"
"00122","A010644","A010403","A010402"
"00123","B100301","B100306","B380404"
"00124","A010302","A010608","A040502"
"00125","A010403","A010302","A010401"
"00126","B100301","B100306","B100305"
"00127","A010631","A010603","A010644"
"00128","B470104","B100305","B160402"
"00129","B100305","B460308","B010205"
"00130","A010401","A010302","A010603"
"00131","A010401","A010402","A010302"
"00132","B560502","B050501","B430101"
"00133","A010401","A010402","A010608"
"00134","A080103","A010402","A090101"
"00135","A010402","A010404","A010302"
"00136","A090201","A010401","A010644"
"00137","C070102","A010404","A010302"
"00138","A060166","A020306","A060167"
"00139","A010644","C070103","C070101"
"00140","A010401","A010302","A010402"
"00141","C070202","C070101","C170701"
"00142","A020302","B200201","A010101"
"00143","B100305","B200801","B150402"
"00144","C030901","C030301","C030401"
"00145","A010302","A010401","A010403"
"00146","A010644","A040224","A080106"
"00147","A010402","A010401","A010404"
"00148","C110101","C070102","C030401"
"00149","A010403","A010501","A010607"
"00150","B100502","B670402","B100301"
"00151","A010302","A010404","A010501"
"00152","A010644","C030105","C010101"
"00153","A010302","A010902","A010613"
"00154","A010644","B100502","B100504"
"00155","A010403","A010402","A010401"
"00156","A010403","A010402","A010401"
"00157","A010302","A010404","C030401"
"00158","A010613","A010603","A010403"
"00159","A030101","A030113","A030102"
"00160","A010401","A010402","A010608"
"00161","A040902","A010644","A010401"
"00162","A040902","A020302","A010201"
"00163","C030401","C170206","C100202"
"00164","A010644","A010901","A010625"
"00165","A010302","A050501","A010402"
"00166","A010403","A010501","A010402"
"00167","A010401","A010302","A010402"
"00168","A010403","A010302","A010401"
"00169","B100305","B200801","B050102"
"00170","B910202","B670201","B740101"
"00171","A010403","A010401","A010402"
"00172","A010404","A010201","A010401"
"00173","C090101","C170206","C060506"
"00174","A010601","A010606","A010637"
"00175","B150402","B430402","B200302"
"00176","C110101","C070203","C070101"
"00177","A020302","A060202","A020208"
"00178","B010102","B010205","B910107"
"00179","A010404","A010402","A010401"
"00180","A010403","A010302","A020302"
"00181","A040224","A010401","A010302"
"00182","A010404","A010402","A010501"
"00183","B210802","B470104","B160201"
"00184","A010402","A010403","A010401"
"00185","B200801","B740102","B430806"
"00186","A010401","A010402","A010403"
"00187","A010710","A010403","A010602"
"00188","C010101","C030401","C030901"
"00189","A010402","A010404","A010403"
"00190","A010401","A010302","A010404"
"00191","A040902","A040224","A040503"
"00192","A010403","B150102","A010613"
"00193","B100305","B740401","B100101"
"00194","B100305","B740101","B380303"
"00195","B300301","B300402","B200801"
"00196","A010608","A040302","C030401"
"00197","B210802","B210107","A020701"
"00198","B380407","B100301","B380406"
"00199","B100305","B100301","B650204"
"00200","C070101","C030401","C010206"
"00201","A020302","A010201","A010401"
"00202","C030111","C170701","C030901"
"00203","B670402","B100301","B300301"
"00204","B100305","B050503","B520903"
"00205","B100501","B521301","B790503"
"00206","B470104","B380303","B100301"
"00207","B380405","B110203","B100305"
"00208","A060114","A020707","A060166"
"00209","A010613","A010604","A010644"
"00210","B100504","C100203","B470104"
"00211","A010403","A010625","A010402"
"00212","C010206","C070203","C070101"
"00213","B140103","C070102","C170206"
"00214","A010402","C170206","C030111"
"00215","B100305","B100502","B100301"
"00216","B740101","B670402","B100306"
"00217","A010403","A010402","A010401"
"00218","A020302","A080106","A010401"
"00219","A010636","A010644","A020302"
"00220","B210802","B140103","B100305"
"00221","B100301","B100104","B100306"
"00222","A020302","A010603","C100101"
"00223","A010403","A010401","A010402"
"00224","A010645","A050212","A010644"
"00225","A090101","A040601","A060114"
"00226","B100305","B670402","B530401"
"00227","C030404","C030401","C130803"
"00228","B160201","B210802","B100502"
"00229","A010403","A010302","A010402"
"00230","A010403","A010302","A010901"
"00231","B100301","B100306","B100504"
"00232","C120601","C120101","C090101"
"00233","C010101","C060506","C030901"
"00234","A090201","A010602","A010613"
"00235","A010302","A010401","A010403"
"00236","C120201","C070101","C130803"
"00237","A020302","A010401","A010402"
"00238","A010403","A010402","A010608"
"00239","A010402","A010403","A010608"
"00240","A010302","A010902","A020302"
"00241","A010401","A040223","A010201"
"00242","B140103","B740101","B740301"
"00243","B140102","B140103","B100305"
"00244","A010302","A010403","A010404"
"00245","A010403","A010401","A010402"
"00246","A040902","A060202","A010646"
"00247","A010302","A010902","A010608"
"00248","A010613","A011003","B470106"
"00249","A010402","A010404","A040902"
"00250","A010402","A040902","A010404"
"00251","A010302","A010404","A010401"
"00252","A010302","A010403","A011004"
"00253","A010602","A010613","A010650"
"00254","A010302","A010608","A010101"
"00255","A010613","A010302","A020302"
"00256","A010403","A030103","A010501"
"00257","B100305","B100502","B650203"
"00258","A040902","A010302","A080111"
"00259","B100504","B210802","B160402"
"00260","B100501","B470104","B100503"
"00261","A040224","A010403","A010501"
"00262","A010404","A010302","A010707"
"00263","B380404","B380303","B380401"
"00264","C070103","B100502","C110601"
"00265","A040302","A050501","A050112"
"00266","A010302","A010401","A010402"
"00267","A040222","A010644","B080203"
"00268","A010302","A040224","C170206"
"00269","C170701","C170206","C010206"
"00270","B100305","B140103","B140102"
"00271","A010302","A010608","A010619"
"00272","B100305","A010607","B100501"
"00273","A030109","A010401","A010644"
"00274","B100301","B100305","B140202"
"00275","A010403","C010206","A010201"
"00276","C120101","C120601","C170701"
"00277","B100305","A010613","B890102"
"00278","C120101","C120601","C130302"
"00279","A010403","A010401","A010402"
"00280","A010645","A010631","A010646"
"00281","C030401","C030703","C010206"
"00282","A020303","A010402","A010404"
"00283","A010403","A010402","A010602"
"00284","B270301","B140103","B210802"
"00285","A010606","A010602","B100802"
"00286","A010403","A010302","A010404"
"00287","B100305","B160402","B010102"
"00288","B051404","B100301","B050117"
"00289","A010403","A010302","A010902"
"00290","B470106","B470104","B100104"
"00291","B210802","B100305","B210107"
"00292","A010403","A010302","A010710"
"00293","A010403","A010402","A020302"
"00294","A030101","A030103","A010644"
"00295","A010401","A010625","A010605"
"00296","A010403","A010402","A010608"
"00297","A010403","A010602","A010601"
"00298","A010402","A010403","A010646"
"00299","A010403","A010603","A010402"
"00300","B100402","B670402","B050117"
"00301","A010301","A010707","A010402"
"00302","A010401","A010404","A040902"
"00303","B100504","B050501","B100301"
"00304","A010613","A090602","A010601"
"00305","A040502","C070101","C150301"
"00306","A010401","A010402","A010302"
"00307","A010644","A010613","A010202"
"00308","A010302","A010401","A011004"
"00309","A010403","A010201","A010402"
"00310","B100305","A010613","A010401"
"00311","A020302","A010402","A010404"
