绊按锅龋,己喊,楷飞措,芭林瘤开,item_7,item_8,item_9,item_10,item_11,item_12,给嘎冕俺岿荐,给嘎冕酒捞袍俺荐,,,,7,8,9,10,11,12
70,M,60技捞惑,65,0,0,0,0,0,0,6,18,,,precision,0.699469519,0.704728589,0.691234297,0.697115301,0.690512245,0.702913332
174,F,60技捞惑,55,,,,,,,6,18,,,嘎冕荤恩,0.937751109,0.934475017,0.929585552,0.928970596,0.926270169,0.928238925
460,M,60技捞惑,210,,,,,,,6,18,,,,,,,,,
908,F,55技~59技,20,0,0,0,0,,0,6,18,,,,,,,,,
960,F,55技~59技,210,,,0,0,0,,6,18,,,,,,,,,
985,M,55技~59技,27,,,,,,0,6,18,,,,,,,,,
1171,F,55技~59技,16,,,0,,,,6,18,,,,,,,,,
1208,F,55技~59技,16,,,,,,,6,18,,,,,,,,,
1222,F,55技~59技,55,0,0,0,,0,,6,18,,,,,,,,,
1262,F,55技~59技,440,,,,,,,6,18,,,,,,,,,
1379,F,55技~59技,10,,0,,,,,6,18,,,,,,,,,
1433,M,55技~59技,60,0,0,,0,0,0,6,18,,,,,,,,,
1448,F,55技~59技,55,0,0,0,0,0,0,6,18,,,,,,,,,
1674,F,55技~59技,47,0,0,0,0,0,0,6,18,,,,,,,,,
1686,M,55技~59技,210,,0,,,0,,6,18,,,,,,,,,
1752,F,55技~59技,100,0,0,0,0,0,0,6,18,,,,,,,,,
1881,M,50技~54技,610,,,,,,,6,18,,,,,,,,,
2019,F,50技~54技,460,,,,,,,6,18,,,,,,,,,
2083,F,50技~54技,310,0,0,0,0,,,6,18,,,,,,,,,
2278,M,50技~54技,100,0,,0,0,0,0,6,18,,,,,,,,,
2328,F,50技~54技,500,0,0,,,,0,6,18,,,,,,,,,
2450,M,50技~54技,360,0,0,0,0,0,0,6,18,,,,,,,,,
2621,M,50技~54技,540,0,0,0,0,0,0,6,18,,,,,,,,,
2773,F,50技~54技,100,0,,,,0,,6,18,,,,,,,,,
2903,M,50技~54技,100,0,0,,0,,0,6,18,,,,,,,,,
2926,F,50技~54技,55,0,0,0,0,0,0,6,18,,,,,,,,,
2975,M,50技~54技,47,,0,,,0,,6,18,,,,,,,,,
3061,M,50技~54技,100,0,,,0,0,,6,18,,,,,,,,,
3142,F,50技~54技,240,,,0,0,,0,6,18,,,,,,,,,
3257,M,50技~54技,540,,,,0,,,6,18,,,,,,,,,
3301,F,50技~54技,100,0,0,0,0,0,0,6,18,,,,,,,,,
3410,M,50技~54技,55,0,,0,0,0,0,6,18,,,,,,,,,
3449,F,50技~54技,16,,,,,0,0,6,18,,,,,,,,,
3658,F,45技~49技,540,0,0,0,0,0,0,6,18,,,,,,,,,
3760,F,45技~49技,100,0,,0,,,0,6,18,,,,,,,,,
4051,F,45技~49技,100,0,0,0,0,0,0,6,18,,,,,,,,,
4063,F,45技~49技,460,0,0,0,0,0,0,6,18,,,,,,,,,
4176,F,45技~49技,500,0,0,0,0,0,0,6,18,,,,,,,,,
4187,F,45技~49技,100,0,0,0,0,0,0,6,18,,,,,,,,,
4397,M,45技~49技,300,0,0,0,0,0,0,6,18,,,,,,,,,
4419,F,45技~49技,16,,,,,,,6,18,,,,,,,,,
4441,F,45技~49技,100,0,,0,0,0,,6,18,,,,,,,,,
4461,F,45技~49技,340,0,0,0,,0,0,6,18,,,,,,,,,
4508,F,45技~49技,460,0,0,0,0,,0,6,18,,,,,,,,,
4564,F,45技~49技,210,0,0,0,0,0,0,6,18,,,,,,,,,
4825,M,45技~49技,100,0,,,,0,0,6,18,,,,,,,,,
5041,F,45技~49技,460,0,0,0,0,0,0,6,18,,,,,,,,,
5080,F,45技~49技,85,,,0,0,0,0,6,18,,,,,,,,,
5208,M,45技~49技,440,,0,,0,0,,6,18,,,,,,,,,
5225,M,45技~49技,500,,0,,0,,,6,18,,,,,,,,,
5578,M,45技~49技,460,,,0,,,,6,18,,,,,,,,,
5628,F,45技~49技,100,0,0,0,0,,0,6,18,,,,,,,,,
5629,F,45技~49技,60,0,0,0,0,0,0,6,18,,,,,,,,,
5704,M,45技~49技,540,,,,,,,6,18,,,,,,,,,
5774,F,40技~44技,100,,,,,0,,6,18,,,,,,,,,
5776,F,40技~44技,100,,0,0,0,0,0,6,18,,,,,,,,,
5822,F,40技~44技,100,0,0,0,0,0,0,6,18,,,,,,,,,
5950,F,40技~44技,13,0,0,0,0,0,0,6,18,,,,,,,,,
5974,F,40技~44技,410,0,0,0,0,0,0,6,18,,,,,,,,,
5993,F,40技~44技,55,,,,,,0,6,18,,,,,,,,,
6017,M,40技~44技,60,0,0,0,0,0,0,6,18,,,,,,,,,
6026,F,40技~44技,540,0,0,0,0,0,0,6,18,,,,,,,,,
6065,F,40技~44技,100,0,0,,0,0,0,6,18,,,,,,,,,
6098,M,40技~44技,340,0,0,,,,,6,18,,,,,,,,,
6263,M,40技~44技,10,,0,0,0,0,0,6,18,,,,,,,,,
6318,F,40技~44技,300,0,0,0,0,0,0,6,18,,,,,,,,,
6645,M,40技~44技,340,0,0,0,0,0,0,6,18,,,,,,,,,
6736,F,40技~44技,100,0,0,0,0,0,0,6,18,,,,,,,,,
6798,F,40技~44技,85,0,0,0,0,0,0,6,18,,,,,,,,,
6799,F,40技~44技,460,0,0,0,0,0,0,6,18,,,,,,,,,
6918,F,40技~44技,100,0,0,0,0,0,0,6,18,,,,,,,,,
7111,F,40技~44技,55,0,0,0,0,,,6,18,,,,,,,,,
7132,M,40技~44技,500,,,0,,,0,6,18,,,,,,,,,
7348,F,40技~44技,460,,0,0,0,,0,6,18,,,,,,,,,
7417,M,40技~44技,360,,,0,,0,,6,18,,,,,,,,,
7525,F,40技~44技,100,,0,0,0,0,0,6,18,,,,,,,,,
7727,F,40技~44技,340,,0,,,,0,6,18,,,,,,,,,
7729,F,40技~44技,55,0,0,,,,,6,18,,,,,,,,,
7774,F,40技~44技,540,0,,,,0,,6,18,,,,,,,,,
7812,F,40技~44技,540,,,0,,,,6,18,,,,,,,,,
7841,F,40技~44技,60,,,,,,,6,18,,,,,,,,,
7957,M,35技~39技,79,,,0,0,,,6,18,,,,,,,,,
8002,F,35技~39技,24,0,0,0,0,0,0,6,18,,,,,,,,,
8067,F,35技~39技,100,0,0,0,0,0,0,6,18,,,,,,,,,
8155,F,35技~39技,100,0,,0,,,0,6,18,,,,,,,,,
8210,F,35技~39技,100,,0,,0,0,,6,18,,,,,,,,,
8213,M,35技~39技,100,,,0,,0,0,6,18,,,,,,,,,
8225,F,35技~39技,570,0,0,0,0,0,0,6,18,,,,,,,,,
8301,F,35技~39技,570,0,,,,0,,6,18,,,,,,,,,
8313,F,35技~39技,340,0,,,0,0,0,6,18,,,,,,,,,
8466,F,35技~39技,60,0,,0,0,0,0,6,18,,,,,,,,,
8561,M,35技~39技,360,,,,,0,0,6,18,,,,,,,,,
8634,F,35技~39技,460,,0,0,0,,0,6,18,,,,,,,,,
8684,F,35技~39技,240,0,0,0,0,0,0,6,18,,,,,,,,,
8989,F,35技~39技,310,0,0,0,0,0,,6,18,,,,,,,,,
9155,F,35技~39技,300,0,0,0,0,0,0,6,18,,,,,,,,,
9231,F,35技~39技,100,0,0,0,0,0,0,6,18,,,,,,,,,
9272,F,35技~39技,100,0,0,0,0,0,0,6,18,,,,,,,,,
9651,F,30技~34技,100,0,0,0,0,0,0,6,18,,,,,,,,,
9671,F,30技~34技,10,,,0,0,0,0,6,18,,,,,,,,,
9788,F,30技~34技,210,0,0,,,,0,6,18,,,,,,,,,
9816,F,30技~34技,540,0,0,0,0,,0,6,18,,,,,,,,,
9899,F,25技~29技,540,0,0,0,0,0,0,6,18,,,,,,,,,
9979,F,45技~49技,500,,,,,0,0,6,18,,,,,,,,,
10001,F,50技~54技,100,0,,,,0,0,6,18,,,,,,,,,
10120,M,60技捞惑,45,0,,0,,,,6,18,,,,,,,,,
10271,F,45技~49技,100,0,0,0,0,0,0,6,18,,,,,,,,,
10345,F,55技~59技,210,0,,,,0,,6,18,,,,,,,,,
10372,F,40技~44技,30,0,0,0,0,0,0,6,18,,,,,,,,,
10400,F,50技~54技,360,,,,,,0,6,18,,,,,,,,,
10500,M,35技~39技,100,0,0,0,0,0,0,6,18,,,,,,,,,
10599,F,35技~39技,69,0,,0,,0,,6,18,,,,,,,,,
10613,F,60技捞惑,610,,,,,,,6,18,,,,,,,,,
10695,F,35技~39技,570,0,,,0,0,0,6,18,,,,,,,,,
10900,F,45技~49技,500,,,0,,,,6,18,,,,,,,,,
10907,F,50技~54技,460,0,0,0,,0,,6,18,,,,,,,,,
10947,F,40技~44技,43,0,0,0,0,0,0,6,18,,,,,,,,,
11023,F,40技~44技,570,,,,0,0,,6,18,,,,,,,,,
11037,F,40技~44技,100,0,0,0,0,0,0,6,18,,,,,,,,,
11049,F,50技~54技,100,0,0,0,0,0,0,6,18,,,,,,,,,
11072,F,50技~54技,500,,,0,0,,,6,18,,,,,,,,,
11085,F,25技~29技,460,,0,0,0,,,6,18,,,,,,,,,
11166,F,45技~49技,610,0,0,0,0,0,0,6,18,,,,,,,,,
11174,F,25技~29技,27,0,0,0,0,0,0,6,18,,,,,,,,,
11230,F,30技~34技,300,0,0,,,0,0,6,18,,,,,,,,,
11356,F,25技~29技,270,0,0,0,0,0,,6,18,,,,,,,,,
11407,F,50技~54技,310,,0,,0,0,,6,18,,,,,,,,,
11546,F,60技捞惑,570,0,0,0,0,0,0,6,18,,,,,,,,,
11648,M,55技~59技,100,0,0,,,,0,6,18,,,,,,,,,
11763,M,40技~44技,39,0,0,0,0,0,0,6,18,,,,,,,,,
11858,M,35技~39技,570,,,,,,,6,18,,,,,,,,,
12077,M,50技~54技,310,,,,,,,6,18,,,,,,,,,
12123,F,30技~34技,100,0,0,0,0,0,0,6,18,,,,,,,,,
12136,M,50技~54技,100,0,0,,0,0,,6,18,,,,,,,,,
12216,F,35技~39技,100,0,0,0,0,0,0,6,18,,,,,,,,,
12253,F,50技~54技,460,0,0,,,,,6,18,,,,,,,,,
12359,M,40技~44技,100,0,0,0,0,,0,6,18,,,,,,,,,
12543,F,50技~54技,310,0,,0,0,,,6,18,,,,,,,,,
12600,F,25技~29技,500,,0,0,,0,0,6,18,,,,,,,,,
12704,F,45技~49技,100,,,,,0,,6,18,,,,,,,,,
12843,F,25技~29技,210,0,0,,0,0,0,6,18,,,,,,,,,
12963,M,40技~44技,460,0,0,0,0,0,,6,18,,,,,,,,,
13309,M,55技~59技,100,,,,,,,6,18,,,,,,,,,
13486,M,50技~54技,100,,,,,,,6,18,,,,,,,,,
13588,F,55技~59技,100,0,0,0,0,0,0,6,18,,,,,,,,,
13670,M,45技~49技,47,,0,0,0,,0,6,18,,,,,,,,,
13730,F,35技~39技,47,,,,0,0,,6,18,,,,,,,,,
13792,F,35技~39技,500,,,,,,0,6,18,,,,,,,,,
13805,F,25技~29技,39,0,0,0,0,0,0,6,18,,,,,,,,,
13824,F,25技~29技,75,,,,,,,6,18,,,,,,,,,
13856,F,40技~44技,100,,0,0,0,0,,6,18,,,,,,,,,
13862,F,25技~29技,72,0,0,0,0,0,0,6,18,,,,,,,,,
14100,F,45技~49技,210,0,0,0,0,0,0,6,18,,,,,,,,,
14151,M,50技~54技,210,,0,0,,,,6,18,,,,,,,,,
14370,F,25技~29技,340,,,,,0,,6,18,,,,,,,,,
14377,F,50技~54技,20,0,0,0,0,0,0,6,18,,,,,,,,,
14553,F,40技~44技,33,,,0,,,0,6,18,,,,,,,,,
14667,M,55技~59技,100,,,,,,,6,18,,,,,,,,,
14669,F,55技~59技,55,0,0,0,0,0,0,6,18,,,,,,,,,
14724,F,30技~34技,10,,,,0,,,6,18,,,,,,,,,
14756,M,50技~54技,340,0,,,,,,6,18,,,,,,,,,
14761,M,35技~39技,540,0,0,0,0,0,0,6,18,,,,,,,,,
14777,F,40技~44技,100,0,0,0,,0,0,6,18,,,,,,,,,
14854,F,50技~54技,360,0,0,,0,0,0,6,18,,,,,,,,,
15040,M,45技~49技,360,,,,,,,6,18,,,,,,,,,
15048,M,50技~54技,100,,0,,,,,6,18,,,,,,,,,
15055,M,45技~49技,100,0,,,,,,6,18,,,,,,,,,
15210,F,30技~34技,210,0,,,,,,6,18,,,,,,,,,
15313,F,40技~44技,55,0,0,0,0,0,0,6,18,,,,,,,,,
15377,F,40技~44技,60,0,0,0,,0,0,6,18,,,,,,,,,
15415,F,25技~29技,52,,,,,,,6,18,,,,,,,,,
15518,F,25技~29技,570,0,0,,0,0,0,6,18,,,,,,,,,
15765,F,35技~39技,500,0,,,0,,,6,18,,,,,,,,,
15807,F,30技~34技,340,,,,0,,,6,18,,,,,,,,,
15896,F,25技~29技,210,0,0,0,0,0,0,6,18,,,,,,,,,
15954,F,50技~54技,500,,,,,0,,6,18,,,,,,,,,
16025,F,40技~44技,27,,,,,,,6,18,,,,,,,,,
16060,M,60技捞惑,55,0,0,0,0,0,0,6,18,,,,,,,,,
16203,M,35技~39技,540,0,0,,0,,,6,18,,,,,,,,,
16271,M,35技~39技,100,0,,,0,,0,6,18,,,,,,,,,
